sentence Id,sentence,aspect_category,aspect_term,from,to,polarity,aspect_simplified,model_input,polarity_encoded,model_input_clean,confidence,source
2,Best chicken chilli dry ever had in such a reasonable price ðŸ‘,FOOD,N/A,,,negative,FOOD,Best chicken chilli dry ever had in such a reasonable price ðŸ‘ [ASP] FOOD,0,best chicken chilli dry ever had in such a reasonable price asp food,0.85273725,pakistani_pseudo
2,Best chicken chilli dry ever had in such a reasonable price ðŸ‘,SERVICE,N/A,,,negative,SERVICE,Best chicken chilli dry ever had in such a reasonable price ðŸ‘ [ASP] SERVICE,0,best chicken chilli dry ever had in such a reasonable price asp service,0.8446718,pakistani_pseudo
2,Best chicken chilli dry ever had in such a reasonable price ðŸ‘,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,Best chicken chilli dry ever had in such a reasonable price ðŸ‘ [ASP] DELIVERY_OVERALL,0,best chicken chilli dry ever had in such a reasonable price asp deliveryoverall,0.84708667,pakistani_pseudo
3,"no napkins? 
 how can you not send any napkins? 
 
 even requested for napkins in instructions. 
 
 poor",FOOD,N/A,,,negative,FOOD,"no napkins? 
 how can you not send any napkins? 
 
 even requested for napkins in instructions. 
 
 poor [ASP] FOOD",0,no napkins how can you not send any napkins even requested for napkins in instructions poor asp food,0.9703494,pakistani_pseudo
3,"no napkins? 
 how can you not send any napkins? 
 
 even requested for napkins in instructions. 
 
 poor",SERVICE,N/A,,,negative,SERVICE,"no napkins? 
 how can you not send any napkins? 
 
 even requested for napkins in instructions. 
 
 poor [ASP] SERVICE",0,no napkins how can you not send any napkins even requested for napkins in instructions poor asp service,0.95945203,pakistani_pseudo
3,"no napkins? 
 how can you not send any napkins? 
 
 even requested for napkins in instructions. 
 
 poor",DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,"no napkins? 
 how can you not send any napkins? 
 
 even requested for napkins in instructions. 
 
 poor [ASP] DELIVERY_OVERALL",0,no napkins how can you not send any napkins even requested for napkins in instructions poor asp deliveryoverall,0.97242606,pakistani_pseudo
4,ZINGER BURGER IS VERY VERY POOR IN QUALITY,FOOD,N/A,,,negative,FOOD,ZINGER BURGER IS VERY VERY POOR IN QUALITY [ASP] FOOD,0,zinger burger is very very poor in quality asp food,0.84351945,pakistani_pseudo
4,ZINGER BURGER IS VERY VERY POOR IN QUALITY,SERVICE,N/A,,,negative,SERVICE,ZINGER BURGER IS VERY VERY POOR IN QUALITY [ASP] SERVICE,0,zinger burger is very very poor in quality asp service,0.86806554,pakistani_pseudo
4,ZINGER BURGER IS VERY VERY POOR IN QUALITY,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,ZINGER BURGER IS VERY VERY POOR IN QUALITY [ASP] DELIVERY_OVERALL,0,zinger burger is very very poor in quality asp deliveryoverall,0.8452717,pakistani_pseudo
5,"very poor delivery of the restaurant. the order wasn't complete.
  Initially the restaurant send juice instead of Pepsi then they sent 1 Pepsi less then the order
 very disappointed",FOOD,N/A,,,negative,FOOD,"very poor delivery of the restaurant. the order wasn't complete.
  Initially the restaurant send juice instead of Pepsi then they sent 1 Pepsi less then the order
 very disappointed [ASP] FOOD",0,very poor delivery of the restaurant the order wasnt complete initially the restaurant send juice instead of pepsi then they sent 1 pepsi less then the order very disappointed asp food,0.97310895,pakistani_pseudo
