sentence_id,sentence,aspect_category,aspect_term,from,to,polarity
4000000:0,Pizza kamal ka tha aur environment bilkul acha nahi tha,FOOD#QUALITY,Pizza,0,5,positive
4000000:0,Pizza kamal ka tha aur environment bilkul acha nahi tha,AMBIENCE#GENERAL,ambience,0,0,negative
4000000:1,Biryani fresh aur lazeez tha aur ambience boring thi,FOOD#QUALITY,Biryani,0,7,positive
4000000:1,Biryani fresh aur lazeez tha aur ambience boring thi,AMBIENCE#GENERAL,ambience,0,0,negative
4000000:2,Pizza bilkul bekaar tha aur ambience boring thi,FOOD#QUALITY,Pizza,0,5,negative
4000000:2,Pizza bilkul bekaar tha aur ambience boring thi,AMBIENCE#GENERAL,ambience,0,0,negative
4000000:3,Fries perfectly cooked tha aur environment bilkul acha nahi tha,FOOD#QUALITY,Fries,0,5,positive
4000000:3,Fries perfectly cooked tha aur environment bilkul acha nahi tha,AMBIENCE#GENERAL,ambience,0,0,negative
4000000:4,Biryani taste acha nahi tha,FOOD#QUALITY,Biryani,0,7,negative
4000000:5,Sandwich bohot tasty tha,FOOD#QUALITY,Sandwich,0,8,positive
4000000:6,Biryani perfectly cooked tha aur ambience kaafi acha tha,FOOD#QUALITY,Biryani,0,7,positive
4000000:6,Biryani perfectly cooked tha aur ambience kaafi acha tha,AMBIENCE#GENERAL,ambience,0,0,positive
4000000:7,Fries thanda tha lekin staff rude tha,FOOD#QUALITY,Fries,0,5,negative
4000000:7,Fries thanda tha lekin staff rude tha,SERVICE#GENERAL,staff,28,33,negative
4000000:8,Pizza perfectly cooked tha,FOOD#QUALITY,Pizza,0,5,positive
4000000:9,Fries overcooked tha lekin staff rude tha,FOOD#QUALITY,Fries,0,5,negative
4000000:9,Fries overcooked tha lekin staff rude tha,SERVICE#GENERAL,staff,32,37,negative
4000000:10,Fries perfectly cooked tha,FOOD#QUALITY,Fries,0,5,positive
4000000:11,Burger thanda tha lekin staff bohot polite tha aur ambience kaafi acha tha,FOOD#QUALITY,Burger,0,6,negative
4000000:11,Burger thanda tha lekin staff bohot polite tha aur ambience kaafi acha tha,SERVICE#GENERAL,staff,29,34,positive
4000000:11,Burger thanda tha lekin staff bohot polite tha aur ambience kaafi acha tha,AMBIENCE#GENERAL,ambience,0,0,positive
4000000:12,Zinger burger kamal ka tha aur environment bilkul acha nahi tha,FOOD#QUALITY,Zinger burger,0,13,positive
4000000:12,Zinger burger kamal ka tha aur environment bilkul acha nahi tha,AMBIENCE#GENERAL,ambience,0,0,negative
4000000:13,Biryani overcooked tha lekin service slow thi,FOOD#QUALITY,Biryani,0,7,negative
4000000:13,Biryani overcooked tha lekin service slow thi,SERVICE#GENERAL,staff,34,39,negative
4000000:14,Sandwich fresh aur lazeez tha aur ambience kaafi acha tha,FOOD#QUALITY,Sandwich,0,8,positive
4000000:14,Sandwich fresh aur lazeez tha aur ambience kaafi acha tha,AMBIENCE#GENERAL,ambience,0,0,positive
4000000:15,Sandwich bohot tasty tha lekin service fast thi,FOOD#QUALITY,Sandwich,0,8,positive
4000000:15,Sandwich bohot tasty tha lekin service fast thi,SERVICE#GENERAL,staff,36,41,positive
4000000:16,Biryani kamal ka tha,FOOD#QUALITY,Biryani,0,7,positive
4000000:17,Pasta fresh aur lazeez tha lekin service fast thi,FOOD#QUALITY,Pasta,0,5,positive
4000000:17,Pasta fresh aur lazeez tha lekin service fast thi,SERVICE#GENERAL,staff,38,43,positive
