sentence_id,sentence,aspect_category,aspect_term,from,to,polarity
1000000:0,delivery kaafi dair laga di,DELIVERY#GENERAL,delivery,0,8,negative
1000001:0,service bad behaviour tha,SERVICE#GENERAL,service,0,7,negative
1000002:0,chicken bohot tasty tha lekin service bohot polite tha lekin rider jaldi pohanch gaya,FOOD#QUALITY,chicken,0,7,positive
1000002:1,chicken bohot tasty tha lekin service bohot polite tha lekin rider jaldi pohanch gaya,SERVICE#GENERAL,service,30,37,positive
1000002:2,chicken bohot tasty tha lekin service bohot polite tha lekin rider jaldi pohanch gaya,DELIVERY#GENERAL,rider,61,66,positive
1000003:0,rider bohot late aya lekin karahi beqar tha,DELIVERY#GENERAL,rider,0,5,negative
1000003:1,rider bohot late aya lekin karahi beqar tha,FOOD#QUALITY,karahi,27,33,negative
1000004:0,qorma perfect tha lekin waiter bad behaviour tha lekin rider bohot late aya,FOOD#QUALITY,qorma,0,5,positive
1000004:1,qorma perfect tha lekin waiter bad behaviour tha lekin rider bohot late aya,SERVICE#GENERAL,waiter,24,30,negative
1000004:2,qorma perfect tha lekin waiter bad behaviour tha lekin rider bohot late aya,DELIVERY#GENERAL,rider,55,60,negative
1000005:0,staff acha behaviour tha,SERVICE#GENERAL,staff,0,5,positive
1000006:0,nihari perfect tha,FOOD#QUALITY,nihari,0,6,positive
1000007:0,nihari beqar tha,FOOD#QUALITY,nihari,0,6,negative
1000008:0,biryani overcooked tha,FOOD#QUALITY,biryani,0,7,negative
1000009:0,karahi beqar tha lekin service acha behaviour tha lekin order bohot late aya,FOOD#QUALITY,karahi,0,6,negative
1000009:1,karahi beqar tha lekin service acha behaviour tha lekin order bohot late aya,SERVICE#GENERAL,service,23,30,positive
1000009:2,karahi beqar tha lekin service acha behaviour tha lekin order bohot late aya,DELIVERY#GENERAL,order,56,61,negative
1000010:0,rider bohot late aya lekin biryani bohot tasty tha lekin delivery boy bohot polite tha,DELIVERY#GENERAL,rider,0,5,negative
1000010:1,rider bohot late aya lekin biryani bohot tasty tha lekin delivery boy bohot polite tha,FOOD#QUALITY,biryani,27,34,positive
1000010:2,rider bohot late aya lekin biryani bohot tasty tha lekin delivery boy bohot polite tha,SERVICE#GENERAL,delivery boy,57,69,positive
1000011:0,waiter acha behaviour tha lekin biryani overcooked tha,SERVICE#GENERAL,waiter,0,6,positive
1000011:1,waiter acha behaviour tha lekin biryani overcooked tha,FOOD#QUALITY,biryani,32,39,negative
1000012:0,order bohot late aya lekin karahi perfect tha lekin counter wala rude tha,DELIVERY#GENERAL,order,0,5,negative
1000012:1,order bohot late aya lekin karahi perfect tha lekin counter wala rude tha,FOOD#QUALITY,karahi,27,33,positive
1000012:2,order bohot late aya lekin karahi perfect tha lekin counter wala rude tha,SERVICE#GENERAL,counter wala,52,64,negative
1000013:0,staff bohot polite tha lekin time time par aa gaya lekin chawal bohot tasty tha,SERVICE#GENERAL,staff,0,5,positive
